fung,AI,isolate,code,date_measured,DPI,trt,rate_ppm,rep,length_mm,width_mm,avg_mm,area
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0,2,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0,3,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0.01,1,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0.01,2,84,84,79,4901.525375
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0.01,3,83.44,81.61,77.525,4719.544877
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0.1,1,76.64,76.63,71.635,4030.209302
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0.1,2,81.96,82,76.98,4654.06942
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,0.1,3,80.45,81.31,75.88,4521.866854
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,1,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,1,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,1,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,10,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,10,2,16.95,16.44,11.695,107.3670455
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,10,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,100,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,100,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,100,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,500,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,500,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,500,3,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,1000,1,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,1000,2,5,5,0,0
Omega,Fluazinam,GD-16-1,SB1,12/21/23,7,2,1000,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0,1,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0,2,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0,3,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0.01,1,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0.01,2,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0.01,3,84,84,79,4901.525375
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0.1,1,75.04,73.61,69.325,3774.075896
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0.1,2,77.3,73.57,70.435,3893.583739
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,0.1,3,74.82,74.73,69.775,3823.636357
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,1,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,1,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,1,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,10,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,10,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,10,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,100,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,100,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,100,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,500,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,500,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,500,3,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,1000,1,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,1000,2,5,5,0,0
Omega,Fluazinam,LrwHC-1,SB15,12/21/23,7,2,1000,3,5,5,0,0
